time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.757276	0.645685	7.22722	-4.90915e-017	1.60856e-017	radar	0	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.12952	0.521756	7.25088	-0.374282	-0.03487	lidar	0	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.26573	0.552942	7.1684	-0.156214	-0.00543316	radar	0	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.63054	0.542361	7.14098	-0.0779558	0.0449533	lidar	0	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.86246	0.551465	6.01584	-0.0819392	-0.363984	radar	0	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.17086	0.555439	5.98392	-0.0634828	-0.267133	lidar	0	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.38426	0.621853	5.53388	0.0104332	-0.162656	radar	0	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65768	0.634288	5.52152	0.0175933	-0.104135	lidar	0	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92074	0.641023	5.45303	0.0116347	-0.123922	radar	0	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15385	0.643974	5.40355	0.0163167	-0.0848035	lidar	0	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43887	0.547389	5.44065	-0.115264	-0.485854	radar	0	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74373	0.442375	5.52173	-0.225694	-0.731696	lidar	0	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.0212	0.524496	5.50588	-0.0995164	-0.299098	radar	0	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29509	0.523062	5.49179	-0.0877144	-0.235306	lidar	0	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55158	0.567239	5.3671	-0.0402412	-0.106651	radar	0	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73421	0.68275	5.18409	0.0659731	0.124079	lidar	0	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98478	0.683939	5.08324	0.0586029	0.0989449	radar	0	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28495	0.67695	5.15982	0.0438005	0.0623907	lidar	0	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54469	0.684066	5.24776	0.0446261	0.0586585	radar	0	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.8409	0.696454	5.3022	0.0459677	0.055541	lidar	0	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.082	0.627598	5.16227	-0.00449111	-0.0267623	radar	0	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
